brand,details,name,price,product_type,shades
Debbie Bliss,1.8oz,Debbie Bliss Paloma,12.9900,Yarns,"
                            21 shades"
Premier Yarns,3.5oz,Premier Yarns Bloom Chunky,3.9900,Yarns,"
                            12 shades"
Premier Yarns,"85% Cotton 15% Polyester, 1.9oz",Premier Yarns Home Cotton Multis,2.1900,Yarns,"
                            19 shades"
Lion Brand,"60% Acrylic 40% Nylon, 4oz",Lion Brand Babysoft Prints,5.7500,Yarns,"
                            4 shades"
Hoooked,30oz,Hoooked Zpagetti Solid,10.9900,Yarns,"
                            16 shades"
Debbie Bliss,8.8oz,Debbie Bliss Cashmerino Aran 5 Ball Value Pack,49.9500,Yarns,"
                            30 colorways"
Tahki Yarns,"100% Wool, 5.3oz",Tahki Yarns Highland Roving,15.9900,Yarns,"
                            23 shades"
Rowan,"100% Wool, 3.5oz",Rowan Pure Wool Superwash Worsted,11.5000,Yarns,"
                            27 shades"
Paintbox Yarns,7.1oz,Paintbox Yarns Chunky Pots,10.0000,Yarns,"
                            15 shades"
Paintbox Yarns,"100% Acrylic, 17.6oz",Paintbox Yarns Simply Chunky 5 Ball Color Pack Designer Picks,10.4650,Yarns,"
                            5 colorways"
MillaMia,1.8oz,MillaMia Naturally Soft Aran,9.4900,Yarns,"
                            28 shades"
Paintbox Yarns,"100% Acrylic, 35.3oz",Paintbox Yarns Simply DK 10 Ball Color Pack - Designed by You,21.0000,Yarns,"
                            5 colorways"
Sirdar Snuggly,"75% Merino Wool 20% Silk 5% Cashmere, 1.8oz",Sirdar Snuggly Cashmere Merino Silk 4 Ply,8.0500,Yarns,"
                            8 shades"
Plymouth Yarn,"50% Acrylic 50% Nylon, 1.8oz",Plymouth Yarn Dreambaby DK,4.9900,Yarns,"
                            13 shades"
Malabrigo,"70% Baby Alpaca 30% Silk, 1.8oz",Malabrigo Silkpaca,10.8000,Yarns,"
                            26 shades"
Debbie Bliss,"100% Merino Wool, 1.8oz",Debbie Bliss Rialto 4 Ply,10.4900,Yarns,"
                            18 shades"
Debbie Bliss,17.6oz,Debbie Bliss Baby Cashmerino 10 Ball Value Pack,99.9000,Yarns,"
                            49 colorways"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Washted,15.4000,Yarns,"
                            17 shades"
Lang Yarns,"100% Alpaca, 0.9oz",Lang Yarns Suri Alpaca,7.9900,Yarns,"
                            14 shades"
Red Heart US,"100% Acrylic, 5oz",Red Heart Soft Baby Steps Solids,4.2900,Yarns,"
                            6 shades"
Paintbox Yarns,"100% Cotton, 10.6oz",Posy + Petal by Sue Rawlinson - Paintbox Yarns Cotton DK 6 Ball Color Pack,10.4580,Yarns,"
                            1 colorway"
Lion Brand,"100% Virgin Wool, 8oz",Lion Brand Fishermen's Wool,12.9900,Yarns,"
                            6 shades"
Valley Yarns,"85% Wool 15% Alpaca, 3.5oz",Valley Yarns Berkshire Bulky,6.9900,Yarns,"
                            22 shades"
West Yorkshire Spinners,"100% Wool, 3.5oz",West Yorkshire Spinners Re:Treat,8.4000,Yarns,"
                            14 shades"
Valley Yarns,"100% Merino Wool, 3.5oz",Valley Yarns Superwash Bulky,11.4900,Yarns,"
                            24 shades"
Hayfield,"70% Acrylic 30% Nylon, 3.5oz",Hayfield Baby Blossom DK,7.5000,Yarns,"
                            9 shades"
Premier Yarns,"100% Polyester, 9.9oz",Premier Yarns Retro Velvet,9.9900,Yarns,"
                            12 shades"
Lion Brand,4.4oz,Lion Brand Hue & Me,7.4900,Yarns,"
                            18 shades"
Berroco,"52% Acrylic 40% Wool 8% Nylon, 1.8oz",Berroco Vintage Baby,4.7500,Yarns,"
                            24 shades"
Lana Grossa,"75% Merino Wool 25% Polyamide, 3.5oz",Lana Grossa Meilenweit Merino Extrafine Cortina,17.9900,Yarns,"
                            6 shades"
King Cole,"80% Acrylic 20% Wool, 3.5oz",King Cole Autumn Chunky,6.7600,Yarns,"
                            8 shades"
Schachenmayr,"100% Cotton, 1.8oz",Schachenmayr Catania Fine,5.4900,Yarns,"
                            11 shades"
Lion Brand,"58% Cotton 39% Acrylic 3% Other, 5.3oz",Lion Brand Shawl in a Cake,9.9900,Yarns,"
                            8 shades"
Paintbox Yarns,"100% Acrylic, 35.3oz",Paintbox Yarns Simply DK 10 Ball Color Pack Designer Picks,20.9300,Yarns,"
                            1 colorway"
King Cole,"60% Acrylic 40% Nylon, 3.5oz",King Cole Comfort Chunky,4.9900,Yarns,"
                            10 shades"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Mechita,20.0000,Yarns,"
                            42 shades"
Rowan,"100% Merino Wool, 3.5oz",Rowan Big Wool,16.9500,Yarns,"
                            28 shades"
James C. Brett,3.5oz,James C. Brett Baby 4 Ply,4.4900,Yarns,"
                            10 shades"
Rowan,0.9oz,Rowan Alpaca Classic,7.3100,Yarns,"
                            20 shades"
Paintbox Yarns,3.5oz,Paintbox Yarns 100% Wool Worsted Superwash,10.0000,Yarns,"
                            48 shades"
Noro,"100% Wool, 1.8oz",Noro Kureyon,10.9500,Yarns,"
                            11 shades"
Malabrigo,"100% Merino Wool, 3.5oz",Malabrigo Mecha,15.0000,Yarns,"
                            29 shades"
Rico,"100% Merino Wool, 1.8oz",Rico Essentials Merino DK,6.9900,Yarns,"
                            35 shades"
Plymouth Yarn,"100% Wool, 1.8oz",Plymouth Yarn Gina,6.9900,Yarns,"
                            8 shades"
Valley Yarns,"60% Merino Wool 40% Acrylic, 1.8oz",Valley Yarns Haydenville DK,4.4900,Yarns,"
                            24 shades"
Rico,"53% Virgin Wool 47% Acrylic, 3.5oz",Rico Creative Melange Big Super Chunky,9.9900,Yarns,"
                            10 shades"
Cascade Yarns,"100% Wool, 3.5oz",Cascade Yarns BFL,14.0000,Yarns,"
                            15 shades"
Hayfield,"90% Acrylic 10% Merino Wool, 3.5oz",Hayfield Soft Twist,5.7500,Yarns,"
                            18 shades"
Cascade Yarns,3.5oz,Cascade Pacific Chunky,7.9900,Yarns,"
                            11 shades"
Cascade Yarns,"100% Acrylic, 7.1oz",Cascade Yarns Cartwheel,10.2900,Yarns,"
                            17 shades"
Cloudborn,"100% Alpaca, 1.8oz",Cloudborn Alpaca Sport - Hank,10.0000,Yarns,"
                            11 shades"
Cascade Yarns,3.5oz,Cascade Yarns Cherub Aran Multis,6.0000,Yarns,"
                            7 shades"
Wool and the Gang,7.1oz,Wool and the Gang Crazy Sexy Wool,24.0000,Yarns,"
                            29 shades"
Hoooked,"100% Organic and Natural, 10.6oz",Hoooked Jute,10.9900,Yarns,"
                            5 shades"
King Cole,"70% Acrylic 30% Wool, 3.5oz",King Cole Riot Chunky,5.9900,Yarns,"
                            16 shades"
Bernat,10.6oz,Bernat Baby Blanket,13.4900,Yarns,"
                            29 shades"
Bernat,5oz,Bernat Pop!,6.4900,Yarns,"
                            15 shades"
Paintbox Yarns,28.2oz,Paintbox Yarns Recycled T-Shirt,10.0000,Yarns,"
                            18 shades"
Debbie Bliss,"50% Cotton 50% Viscose, 3.5oz",Debbie Bliss Piper,9.4900,Yarns,"
                            18 shades"
Cascade Yarns,"80% Alpaca 20% Nylon, 3.5oz",Cascade Yarns Miraflores,15.0000,Yarns,"
                            19 shades"
MillaMia,"50% Cotton 50%, 1.8oz",MillaMia Naturally Baby Soft,5.5000,Yarns,"
                            15 shades"
Lion Brand,"100% Acrylic, 3oz",Lion Brand Ferris Wheel,4.9900,Yarns,"
                            11 shades"
Novita,"100% Wool, 1.8oz",Novita Suomivilla,5.4000,Yarns,"
                            6 shades"
Lana Grossa,"63% Alpaca 37% Silk, 0.9oz",Lana Grossa Setasuri,10.5000,Yarns,"
                            17 shades"
Tahki Yarns,"100% Cotton, 1.8oz",Tahki Yarns Cotton Classic,6.4900,Yarns,"
                            39 shades"
Lion Brand,"80% Acrylic 20% Wool, 4.9oz",Lion Brand Wool Ease Thick & Quick Prints,7.9900,Yarns,"
                            5 shades"
Patons,"100% Wool, 3.5oz",Patons Classic Wool Worsted,7.9900,Yarns,"
                            9 shades"
Noro,"45% Silk 45% Mohair 10% Wool, 1.8oz",Noro Silk Garden,13.9500,Yarns,"
                            14 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton DK 10 Ball Color Pack Designer Picks,17.4300,Yarns,"
                            1 colorway"
Debbie Bliss,"45% Silk 40% Cotton 15% Polyamide, 1.8oz",Debbie Bliss Sita,11.9925,Yarns,"
                            5 shades"
Paintbox Yarns,"100% Cotton, 17oz",Paintbox Yarns Cotton DK 10 Ball Color Pack - Amigurumi Advent 2019,21.0000,Yarns,"
                            2 colorways"
Cascade Yarns,3.5oz,Cascade Yarns ReBound,4.8000,Yarns,"
                            5 shades"
Lion Brand,"100% Acrylic, 5.3oz",Lion Brand Mandala Ombre,7.9900,Yarns,"
                            12 shades"
Lang Yarns,"100% Cashmere, 0.9oz",Lang Yarns Cashmere Premium,24.4900,Yarns,"
                            31 shades"
Sirdar Snuggly,"75% Merino Wool 20% Silk 5% Cashmere, 1.8oz",Sirdar Snuggly Cashmere Merino Silk DK,8.9900,Yarns,"
                            12 shades"
Hayfield,"80% Acrylic 20% Wool, 14.1oz",Hayfield Bonus Aran with Wool,14.9900,Yarns,"
                            12 shades"
Debbie Bliss,17.6oz,Debbie Bliss Cashmerino Chunky 10 Ball Value Pack,99.9000,Yarns,"
                            23 colorways"
Lang Yarns,1.8oz,Lang Yarns Mille Colori Baby,11.9900,Yarns,"
                            22 shades"
Caron,"100% Acrylic, 5oz",Caron Simply Soft Heathers,4.9900,Yarns,"
                            3 shades"
Valley Yarns,"60% Merino Wool 40% Acrylic, 3.5oz",Valley Yarns Haydenville,7.9900,Yarns,"
                            27 shades"
Cascade Yarns,"60% Acrylic 40% Merino Wool, 3.5oz",Cascade Yarns Pacific Chunky Color Wave,8.0000,Yarns,"
                            10 shades"
Stylecraft,"60% Bamboo 40% Cotton, 3.5oz",Stylecraft Naturals Bamboo & Cotton DK,5.5000,Yarns,"
                            43 shades"
Lopi,"100% Wool, 3.5oz",Lopi Plotulopi,10.0000,Yarns,"
                            31 shades"
King Cole,"70% Acrylic 30% Polyamide, 3.5oz",King Cole Beaches DK,5.9900,Yarns,"
                            8 shades"
Paintbox Yarns,35.3oz,Paintbox Yarns Chunky Pots 5 Ball Value Pack,49.9500,Yarns,"
                            18 colorways"
Rozetti Yarns,"65% Cotton 8% Metallic 27% Other, 1.8oz",Rozetti Yarns Cotton Gold,12.0000,Yarns,"
                            7 shades"
The Fibre Co.,"70% Merino Wool 20% Alpaca 10% Nylon, 3.5oz",The Fibre Co. Amble,23.0000,Yarns,"
                            22 shades"
Lang Yarns,"100% Virgin Wool, 3.5oz",Lang Yarns Frida,23.5000,Yarns,"
                            3 shades"
Bernat,"80% Acrylic 20% Wool, 3.5oz",Bernat Roving,5.9900,Yarns,"
                            5 shades"
Lana Grossa,"100% Virgin Wool, 1.8oz",Lana Grossa Ragazza Lei,6.7500,Yarns,"
                            14 shades"
Sirdar,"100% Acrylic, 7.1oz",Sirdar Jewelspun,14.2500,Yarns,"
                            10 shades"
Toft,"100% Wool, 3.5oz",Toft DK,25.0000,Yarns,"
                            7 shades"
Lopi,"100% Wool, 3.5oz",Lopi Alafosslopi,10.0000,Yarns,"
                            39 shades"
Willow and Lark,"60% Merino Wool 30% Microfibre 10% Camel, 8.8oz",Willow and Lark Poetry 5 Ball Value Pack,42.5000,Yarns,"
                            19 colorways"
Valley Yarns,"50% Baby Alpaca 35% Merino Wool 15% Silk, 1.8oz",Valley Yarns Hampden,6.9900,Yarns,"
                            14 shades"
Rico,"53% Wool 47% Acrylic, 1.8oz",Rico Creative Melange Chunky,5.2900,Yarns,"
                            16 shades"
Paintbox Yarns,35.3oz,Paintbox Yarns Simply Aran 10 Ball Value Pack,21.0000,Yarns,"
                            60 colorways"
Paintbox Yarns,"100% Acrylic, 17.6oz",Paintbox Yarns Simply DK 5 Ball Color Pack Designer Picks,10.5000,Yarns,"
                            5 colorways"
Universal Yarn,"100% Acrylic, 7.1oz",Universal Yarn Major,12.5000,Yarns,"
                            12 shades"
Blue Sky Fibers,"100% Wool, 1.8oz",Blue Sky Fibers Woolstok,8.5000,Yarns,"
                            17 shades"
Lana Grossa,1.8oz,Lana Grossa Cool Merino,11.9900,Yarns,"
                            18 shades"
Bernat,"71% Acrylic 26% Synthetic 3% Nylon, 4.9oz",Bernat Baby Coordinates Ombres,6.4900,Yarns,"
                            5 shades"
Rico,"50% Acrylic 50% Wool, 3.5oz",Rico Essentials Super Super Chunky,13.2600,Yarns,"
                            17 shades"
Katia,"100% Cotton, 0.4oz",Katia Amigurumi,12.9900,Yarns,"
                            3 shades"
Sirdar,"100% Acrylic, 3.5oz",Sirdar Supersoft Aran Rainbow Drops,5.3520,Yarns,"
                            6 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Recycled Cotton Worsted 5 Ball Value Pack,22.5000,Yarns,"
                            9 colorways"
Hoooked,8.8oz,Hoooked Wavy Blends,10.9900,Yarns,"
                            9 shades"
Paintbox Yarns,"100% Cotton, 51.1oz",Check Me Out Bed Throw Colourful Home Collection - Paintbox Yarns Cotton Aran 29 Ball Color Pack,60.9000,Yarns,"
                            2 colorways"
Rico,"100% Merino Wool, 1.8oz",Rico Essentials Soft Merino Aran,6.9900,Yarns,"
                            23 shades"
Malabrigo,"80% Merino Wool 20% Cashmere, 1.8oz",Malabrigo Caprino,18.0000,Yarns,"
                            29 shades"
Cascade Yarns,"100% Wool, 8.8oz",Cascade Ecological Wool,27.5000,Yarns,"
                            13 shades"
King Cole,"100% Cotton, 1.8oz",King Cole Giza Cotton 4Ply,4.5000,Yarns,"
                            7 shades"
Premier Yarns,4.9oz,Premier Yarns DK Colors,5.9900,Yarns,"
                            5 shades"
Lion Brand,"70% Polyester 30% Viscose, 3.5oz",Lion Brand Rewind,3.9950,Yarns,"
                            16 shades"
Cascade Yarns,3.5oz,Cascade Yarns Pacific Color Wave,4.4000,Yarns,"
                            11 shades"
Novita,"100% Merino Wool, 1.8oz",Novita Merino 4 Ply,5.9000,Yarns,"
                            11 shades"
Debbie Bliss,"78% Mohair 13% Merino Wool 9% Polyamide, 1.8oz",Debbie Bliss Nell,12.4900,Yarns,"
                            11 shades"
Cascade Yarns,"100% Cotton, 3.5oz",Cascade Yarns Nifty Cotton Splash,7.5000,Yarns,"
                            8 shades"
Sirdar,1.8oz,Sirdar Cashmere Merino Silk DK,9.9900,Yarns,"
                            24 shades"
James C. Brett,"100% Polyester, 8.8oz",James C. Brett Huggable,15.6000,Yarns,"
                            6 shades"
Debbie Bliss,"100% Wool, 1.8oz",Debbie Bliss Donegal Luxury Tweed Aran,11.4900,Yarns,"
                            14 shades"
Stylecraft,"100% Acrylic, 35.3oz",Stylecraft Special DK 10 Ball Value Pack,29.9200,Yarns,"
                            80 colorways"
Paintbox Yarns,"100% Acrylic, 17.6oz",Paintbox Yarns Bella Coco Ombre Pack - Paintbox Yarns Simply DK 5 Ball Colour Pack,10.5000,Yarns,"
                            5 colorways"
Berroco,"50% Alpaca 50% Wool, 3.5oz",Berroco Ultra Alpaca Natural,13.0000,Yarns,"
                            5 shades"
Loopy Mango,"47% Mohair 53% Merino Wool, 1.8oz",Loopy Mango Mohair So Soft,22.0000,Yarns,"
                            12 shades"
Debbie Bliss,"100% Baby Alpaca, 1.8oz",Debbie Bliss Aymara,10.9900,Yarns,"
                            9 shades"
The Yarn Collective,"100% Merino Wool, 17.6oz",The Yarn Collective Fleurville 4 Ply 5 Ball Value Pack,97.4500,Yarns,"
                            10 colorways"
Premier Yarns,"100% Acrylic, 3.5oz",Premier Yarns Everyday DK Prints,5.9900,Yarns,"
                            6 shades"
Novita,"70% Modal 30% Merino Wool, 3.5oz",Novita WoollyWood,7.9000,Yarns,"
                            10 shades"
Premier Yarns,"100% Acrylic, 3.5oz",Premier Yarns Colorfusion Chunky,4.9900,Yarns,"
                            15 shades"
Bluprint,,Bluprint Eastival Shawl Knitting Kit,70.0000,Kits,
Lion Brand,"100% Viscose, 3.5oz",Lion Brand Truboo,5.9900,Yarns,"
                            18 shades"
Noro,"60% Wool 10% Alpaca 30% Silk, 3.5oz",Noro Madara,24.9500,Yarns,"
                            12 shades"
Aunt Lydia's,"88% Cotton 12% Metallic, 1.3oz",Aunt Lydia's Metallic Crochet Thread Size 10,3.0500,Yarns,"
                            4 shades"
Red Heart US,"100% Acrylic, 7oz",Red Heart With Love Solids,6.2900,Yarns,"
                            18 shades"
Premier Yarns,"100% Acrylic, 4.9oz",Premier Yarns Sweet Roll,5.9900,Yarns,"
                            9 shades"
Koigu,"100% Merino Wool, 1.8oz",Koigu Painters Palette Premium Merino,14.9900,Yarns,"
                            25 shades"
Rowan,"85% Cotton 15% Cashmere, 1.8oz",Rowan Cotton Cashmere,12.9500,Yarns,"
                            21 shades"
Debbie Bliss,"100% Cashmere, 0.9oz",Debbie Bliss Luna,22.0000,Yarns,"
                            8 shades"
Valley Yarns,"75% Merino Wool 25% Nylon, 17.6oz",Valley Yarns Huntington 10 Ball Value Pack,54.9000,Yarns,"
                            24 colorways"
Debbie Bliss,17.6oz,Debbie Bliss Cashmerino Aran 10 Ball Value Pack,99.9000,Yarns,"
                            30 colorways"
Berroco,"47% Cotton 44% Acrylic 9% Nylon, 3.5oz",Berroco Summer Sesame,16.0000,Yarns,"
                            13 shades"
Lion Brand,"100% Acrylic, 5oz",Lion Brand Heartland Thick & Quick,6.4900,Yarns,"
                            5 shades"
King Cole,3.5oz,King Cole Splash DK,4.9900,Yarns,"
                            6 shades"
Debbie Bliss,"95% Wool 5% Cashmere, 3.5oz",Debbie Bliss Fine Donegal,24.9500,Yarns,"
                            16 shades"
King Cole,"100% Acrylic, 3.5oz",King Cole Big Value Super Chunky,4.4900,Yarns,"
                            22 shades"
Paintbox Yarns,"75% Wool 25% Polyamide, 3.5oz",Paintbox Yarns Socks,10.0000,Yarns,"
                            12 shades"
Berroco,1.8oz,Berroco Pirouette,6.0000,Yarns,"
                            9 shades"
Juniper Moon Farm,"90% Merino Wool 10% Cashmere, 1.8oz",Juniper Moon Farm Fourteen Paints,24.9500,Yarns,"
                            5 shades"
Universal Yarn,"48% Bamboo 44% Wool 8% Acrylic, 3.5oz",Universal Yarn Bamboo Bloom Handpaints,13.0000,Yarns,"
                            10 shades"
Cascade Yarns,"100% Wool, 3.5oz",Cascade Yarns ReVive,11.0000,Yarns,"
                            15 shades"
Paintbox Yarns,"50% Wool 50% Acrylic, 3.5oz",Paintbox Yarns Wool Mix Aran,8.0000,Yarns,"
                            49 shades"
Stylecraft,"100% Acrylic, 35.3oz",Stylecraft Special Chunky 10 Ball Value Pack,29.9200,Yarns,"
                            49 colorways"
Paintbox Yarns,"100% Cotton, 8.8oz",Paintbox Yarns Cotton DK 5 Ball Color Pack Designer Picks,10.5000,Yarns,"
                            2 colorways"
Yarn and Colors,"100% Cotton, 1.8oz",Yarn and Colors Must-Have,3.5000,Yarns,"
                            84 shades"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton DK 10 Ball Color Pack - Designed by You,21.0000,Yarns,"
                            5 colorways"
Stylecraft,"100% Acrylic, 17.6oz",Stylecraft Special Chunky 5 Ball Value Pack,14.9600,Yarns,"
                            49 colorways"
Universal Yarn,"55% Bamboo 37% Cotton 8% Other, 3.5oz",Universal Yarn Bamboo Pop Sock,10.5000,Yarns,"
                            6 shades"
Premier Yarns,"65% Acrylic 35% Merino Wool, 7.1oz",Premier Yarns Spun Colors,9.9900,Yarns,"
                            11 shades"
Rowan,3.5oz,Rowan Moordale,28.0000,Yarns,"
                            18 shades"
Lion Brand,"100% Acrylic, 5.3oz",Lion Brand Mandala Baby,7.9900,Yarns,"
                            10 shades"
West Yorkshire Spinners,"100% Wool, 3.5oz",West Yorkshire Spinners The Croft,14.5000,Yarns,"
                            19 shades"
Loopy Mango,"100% Cotton, 3.5oz",Loopy Mango Big Cotton,16.0000,Yarns,"
                            9 shades"
Plymouth Yarn,"100% Alpaca, 3.5oz",Plymouth Yarn Baby Alpaca Grande Hand Dye,23.9900,Yarns,"
                            7 shades"
MillaMia,"100% Cotton, 1.8oz",MillaMia Naturally Soft Cotton,4.9900,Yarns,"
                            20 shades"
Premier Yarns,"52% Cotton 48% Acrylic, 3.5oz",Premier Yarns Cotton Fair Solids,5.9900,Yarns,"
                            7 shades"
Debbie Bliss,"100% Cotton, 8.8oz",Debbie Bliss Eco Baby 5 Ball Value Pack,39.0000,Yarns,"
                            12 colorways"
Novita,"75% Wool 25% Polyamide, 3.5oz",Novita 7 Veljestä Lapintaika,10.5900,Yarns,"
                            5 shades"
Regia,"75% Wool 25% Nylon, 3.5oz",Regia 4Ply Dee Hardwicke Garden City Color,9.9900,Yarns,"
                            5 shades"
Stylecraft,"100% Acrylic, 3.5oz",Stylecraft Highland Heathers,4.5000,Yarns,"
                            19 shades"
Berroco,"38% Wool 28% Acrylic 23% Mohair 11% Silk, 1.8oz",Berroco Tiramisu,12.0000,Yarns,"
                            12 shades"
Stylecraft,"50% Acrylic 50% Polyamide, 3.5oz",Stylecraft Wondersoft 4ply cashmere feel,6.9900,Yarns,"
                            5 shades"
Rowan,"100% Cotton, 1.8oz",Rowan Handknit Cotton,6.5000,Yarns,"
                            17 shades"
Cascade Yarns,"85% Merino Wool 15% Silk, 3.5oz",Cascade Heritage Silk,18.9900,Yarns,"
                            17 shades"
Lion Brand,"60% Acrylic 40% Nylon, 4.9oz",Lion Brand Babysoft,6.4900,Yarns,"
                            9 shades"
Lion Brand,3oz,Lion Brand Vanna's Choice Multi,4.4900,Yarns,"
                            2 shades"
Caron,"100% Acrylic, 16oz",Caron One Pound,10.9900,Yarns,"
                            7 shades"
Patons,"100% Wool, 3.5oz",Patons Classic Wool Roving,8.9900,Yarns,"
                            6 shades"
Tahki Yarns,"100% Wool, 3.5oz",Tahki Yarns Donegal Tweed,12.9900,Yarns,"
                            26 shades"
Premier Yarns,"100% Acrylic, 3.5oz",Premier Yarns Anti-Pilling Everyday Worsted Solids,4.9900,Yarns,"
                            3 shades"
Universal Yarn,3.5oz,Universal Yarn Deluxe Chunky,7.9900,Yarns,"
                            80 shades"
Rico,"50% Acrylic 50% Polyamide, 1.8oz",Rico Baby Dream Luxury Touch Uni DK,6.9900,Yarns,"
                            11 shades"
MillaMia,1.8oz,MillaMia Naturally Soft Sock,6.0000,Yarns,"
                            20 shades"
James C. Brett,"100% Polyester, 3.5oz",James C. Brett Baby Velvet,6.4900,Yarns,"
                            7 shades"
Novita,"55% Merino Wool 45% Cotton, 1.8oz",Novita Muumit Moomins,4.8000,Yarns,"
                            3 shades"
MillaMia,"100% Merino Wool, 17.6oz",MillaMia Naturally Soft Super Chunky 5 Ball Value Pack,64.9500,Yarns,"
                            21 colorways"
King Cole,"100% Acrylic, 3.5oz",King Cole Baby Safe DK,6.5000,Yarns,"
                            6 shades"
Caron,"100% Acrylic, 5oz",Caron Simply Soft Speckle,5.9900,Yarns,"
                            8 shades"
Rowan,"57% Wool 33% Acrylic 10% Cashmere, 1.8oz",Rowan Baby Cashsoft Merino,8.5000,Yarns,"
                            22 shades"
Lily Sugar 'n Cream,"100% Cotton, 3oz",Lily Sugar 'n Cream Super Size Ombres,3.9900,Yarns,"
                            9 shades"
Cascade Yarns,"100% Wool, 3.5oz",Cascade Yarns 220 Superwash® Wave,12.5000,Yarns,"
                            9 shades"
Sirdar,"100% Polyester, 1.8oz",Sirdar Alpine,6.7500,Yarns,"
                            9 shades"
Regia,1.8oz,Regia 4 Ply 50g,6.7500,Yarns,"
                            13 shades"
Tahki Yarns,"70% Wool 30% Mohair, 1.8oz",Tahki Yarns Donegal Tweed Fine,7.9900,Yarns,"
                            16 shades"
King Cole,"100% Wool, 1.8oz",King Cole Merino Blend 4 Ply,4.9900,Yarns,"
                            16 shades"
Bernat,"75% Acrylic 22% Rayon 3% Nylon, 4.9oz",Bernat Baby Coordinates Solids,7.4900,Yarns,"
                            5 shades"
Sirdar,1.8oz,Sirdar Temptation,3.7450,Yarns,"
                            2 shades"
Valley Yarns,"100% Merino Wool, 3.5oz",Valley Yarns Superwash Super Bulky,11.9900,Yarns,"
                            20 shades"
Valley Yarns,"72% Mohair 28% Silk, 8.8oz",Valley Yarns Southampton 10 Ball Value Pack,89.9000,Yarns,"
                            28 colorways"
Rowan,"45% Cotton 23% Alpaca 22% Wool 10% Polyamide, 1.8oz",Rowan Soft Boucle,11.9900,Yarns,"
                            9 shades"
Valley Yarns,8.8oz,Valley Yarns Superwash 5 Ball Value Pack,34.9500,Yarns,"
                            31 colorways"
Paintbox Yarns,"100% Cotton, 17.6oz",Paintbox Yarns Cotton 4 ply 10 Ball Value Pack,32.5000,Yarns,"
                            25 colorways"
Rowan,"50% Wool 25% Alpaca 25% Viscose, 1.8oz",Rowan Felted Tweed Colour by Kaffe Fassett,15.9900,Yarns,"
                            8 shades"
Berroco,1.8oz,Berroco Aero,7.7000,Yarns,"
                            2 shades"
Valley Yarns,"50% Baby Alpaca 35% Merino Wool 15% Silk, 8.8oz",Valley Yarns Hampden 5 Ball Value Pack,34.9500,Yarns,"
                            14 colorways"
Plymouth Yarn,"75% Acrylic 25% Wool, 3.5oz",Plymouth Yarn Encore Chunky,6.5000,Yarns,"
                            18 shades"
Paintbox Yarns,"50% Wool 50% Acrylic, 17.6oz",Paintbox Yarns Wool Mix Aran 5 Ball Value Pack,40.0000,Yarns,"
                            60 colorways"
Debbie Bliss,8.8oz,Debbie Bliss Rialto Aran 5 Ball Value Pack,49.9500,Yarns,"
                            16 colorways"
Rowan,"60% Cotton 40% Wool, 1.8oz",Rowan Cotton Wool,16.9500,Yarns,"
                            12 shades"
Plymouth Yarn,"100% Alpaca, 1763.7oz",Plymouth Yarn Baby Alpaca Worsted,19.9900,Yarns,"
                            14 shades"
Paintbox Yarns,"100% Acrylic, 35.3oz",Paintbox Yarns Simply DK 10 Ball Color Pack,21.0000,Yarns,"
                            6 colorways"
Berroco,"43% Wool 39% Acrylic 9% Cotton 9% Nylon, 3.5oz",Berroco Sesame,17.5000,Yarns,"
                            11 shades"
Debbie Bliss,17.6oz,Debbie Bliss Toast 4 ply 5 Ball Value Pack,74.9500,Yarns,"
                            10 colorways"
Manos del Uruguay,"100% Merino Wool, 5.3oz",Manos Del Uruguay Franca,36.0000,Yarns,"
                            13 shades"
Plymouth Yarn,"75% Acrylic 25% Wool, 7.1oz",Plymouth Yarn Hot Cakes,13.9900,Yarns,"
                            5 shades"
Regia,"75% Virgin Wool 25% Polyamide, 3.5oz",Regia Arne & Carlos Pairfect,17.5000,Yarns,"
                            4 shades"
Bernat,"100% Polyester, 10.6oz",Bernat Velvet,12.9900,Yarns,"
                            12 shades"
Cascade Yarns,"100% Cotton, 3.5oz",Cascade Yarns Nifty Cotton,6.9900,Yarns,"
                            11 shades"
Loopy Mango,"100% Merino Wool, 5.3oz",Loopy Mango Merino No. 5,29.0000,Yarns,"
                            9 shades"
James C. Brett,"90% Nylon 10% Polyester, 3.5oz",James C. Brett Faux Fur,6.5000,Yarns,"
                            3 shades"
Bernat,"100% Cotton, 1.8oz",Bernat Handicrafter Cotton,2.4900,Yarns,"
                            14 shades"
Schachenmayr,"50% Cotton 50% Acrylic, 1.8oz",Schachenmayr Baby Smiles Easy Cotton,6.9900,Yarns,"
                            18 shades"
Bernat,"100% Polyester, 10.6oz",Bernat Blanket Twist,12.9900,Yarns,"
                            8 shades"
Tahki Yarns,"57% Wool 43% Acrylic, 3.5oz",Tahki Yarns Gunnison,14.9900,Yarns,"
                            12 shades"
Valley Yarns,"60% Merino Wool 40% Acrylic, 17.6oz",Valley Yarns Haydenville DK 10 Ball Value Pack,44.9000,Yarns,"
                            24 colorways"
